base_url,method,pattern
http://www.fertilizerseurope.com,input,input[type='search']
http://www.bioenergy-news.com,input,input[id*='search']
http://www.plasteurope.com,icon,.search-button
http://www.federalregister.gov,input,form input[type='text']
http://www.agribusinessglobal.com,icon,button[class*='search']
https://cen.acs.org,icon,button[aria-label*='Search']
https://www.chemengonline.com,icon,button[aria-label*='Search']
http://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/plastics-material-specific-data,icon,button[aria-label*='Search']
http://www.chemengonline.com,icon,button[aria-label*='Search']
http://www.foodprocessing.com,icon,div[class*='search-icon']
https://www.agribusinessglobal.com,icon,button[class*='search']
http://www.agropages.com,input,input[placeholder*='search']
http://www.plastindia.org,,
http://www.plasticseurope.org,input,input[type='search']
https://indianchemicalnews.com,icon,i[class*='search']
http://www.tradearabia.com,,
https://www.foodbev.com,input,input[type='search']
http://eur-lex.europa.eu,fallback,./../advanced-search-form.html
http://www.chemicalweekly.com,input,input[type='search']
https://www.energyglobal.com,input,input[name='search']
https://www.hydrocarbonprocessing.com,icon,i[class*='search']
https://mines.rajasthan.gov.in/,input,input[name='search']
https://www.freepressjournal.in/business,input,input[name='q']
https://www.energy.gov/lpo/latest-news,icon,button[aria-label*='Search']
http://www.process-worldwide.com,input,input[placeholder*='search']
http://www.plasticstoday.com,icon,button[aria-label*='Search']
https://www.deshgujarat.com/,icon,i[class*='search']
http://www.chemanager-online.com,input,input[type='search']
https://www.chemarc.com/news-search?q=Gujarat,input,input[placeholder*='Search']
https://www.indianchemicalnews.com,icon,i[class*='search']
http://www.plasticsnews.com,icon,button[aria-label*='search']
http://echa.europa.eu,input,input[name='q']
https://www.hydrocarbonprocessing.com/construction-boxscore-database,,
http://www.britishplastics.co.uk,icon,button[class*='search']
https://www.h2-view.com,input,input[placeholder*='Search']
https://www.businesswire.com,input,input[placeholder*='Search']
https://www.constructionworld.in,input,input[type='search']
http://cen.acs.org,icon,button[aria-label*='Search']
https://www.business-standard.com/industry/chemicals,url,/global/search?q={}
https://www.circularonline.co.uk,input,input[type='search']
https://cordis.europa.eu,error,net::ERR_CONNECTION_TIMED_OUT at https://cordis.europa.eu/
https://www.gasworld.com,input,input[placeholder*='Search']
https://www.americanbiogascouncil.org,input,form input[type='text']
https://www.tyreandrubberrecycling.com,icon,i[class*='search']
https://www.renewablewatch.in,input,input[type='search']
https://fuelcellsworks.com,input,input[placeholder*='Search']
https://www.european-biogas.eu,input,input[type='search']
https://www.letsrecycle.com,input,input[type='search']
https://www.hydrogenfuelnews.com,icon,i[class*='search']
https://indianchemicalnews.com/category/polymers,icon,i[class*='search']
https://www.pharmaceutical-technology.com,icon,.search-button
http://eprocure.gov.in/eprocure/app,input,input[id*='Search']
http://etenders.gov.in,,
http://etenders.gov.in/eprocure/app,input,input[id*='Search']
https://www.saurenergy.com/,icon,button[aria-label*='Search']
https://ted.europa.eu,icon,button[class*='search']
http://www.paintindia.in,url,/global/search?q={}
https://www.fastmarkets.com,icon,button[class*='search']
http://www.fiercepharma.com,input,input[placeholder*='Search']
https://www.meed.com/,input,header input
https://www.steelmint.com,input,input[id*='search']
https://www.foodnavigator-asia.com,input,input[type='search']
https://www.foodprocessing.com,,
https://biofuels-news.com/,input,input[id*='search']
https://www.oleochemicals.com,error,Timeout 60000ms exceeded.
http://texmin.gov.in,url,/global/search?q={}
https://www.pudhari.com/business,error,net::ERR_CERT_COMMON_NAME_INVALID at https://www.pudhari.com/business
https://www.evwind.es/,icon,.search-toggle
http://www.renewableenergyworld.com,,
https://www.h2-view.com/,input,input[placeholder*='Search']
https://www.eqmagpro.com/,icon,i[class*='search']
http://eprocure.gov.in,,
https://cpcb.nic.in/e-waste/,input,input[name='q']
http://www.euwid-recycling.com,input,input[placeholder*='Search']
http://www.recyclinginternational.com/recycling-news/battery-recycling/,input,input[type='search']
http://www.energy.gov/mesc,icon,button[aria-label*='Search']
https://www.deshgujarat.com/category/business,icon,i[class*='search']
https://www.zawya.com/en/projects,input,input[name='q']
https://cordis.europa.eu/,error,net::ERR_CONNECTION_TIMED_OUT at https://cordis.europa.eu/
https://www.rechargenews.com/hydrogen,,
https://www.biodieselmagazine.com/,icon,svg[aria-hidden='true'][class*='icon']
https://www.ethanolproducer.com/,icon,svg[aria-hidden='true'][class*='icon']
https://www.biogasworld.com/,icon,svg[class*='search']
https://www.renewableenergyworld.com/,,
https://www.ammoniaenergy.org/,input,input[name='s']
https://www.projectstoday.com,input,input[placeholder*='Search']
http://www.thomasnet.com,,
http://www.coatingsworld.com,,
https://www.zawya.com/,input,input[name='q']
https://www.tradearabia.com/news/chem.html,fallback,https://www.google.com/search?client=ms-google-coop&q=test&cx=003202772227239279933:ac4i5npsnes
http://www.european-coatings.com,icon,div[class*='search-icon']
https://www.energy.gov/lpo/projects,icon,button[aria-label*='Search']
https://www.projectstoday.com/news/search/Polymer,input,input[placeholder*='Search']
https://www.rechargenews.com,input,input[placeholder*='Search']
https://www.tappi.org/,icon,button[class*='search']
https://www.labelsandlabeling.com/,icon,a[class*='search']
https://www.packaging-gateway.com/,icon,.search-button
https://www.recyclingtoday.com/,icon,i[class*='search']
https://www.chemarc.com/news/categories/polymers-resins,input,input[placeholder*='Search']
